seed,outcome,months,pop_initial,pop_final,climate_initial,climate_final,biogeochemical_initial,biogeochemical_final,biosphere_initial,biosphere_final,ocean_initial,ocean_final,freshwater_initial,freshwater_final,land_initial,land_final,novelEntities_initial,novelEntities_final,survival,basicNeeds,psychological,social,health,environmental,overall
42,dystopia,121,8.14,0.59,1.210,2.526,2.940,1.451,11.600,49.112,1.050,0.000,1.150,1.121,1.170,1.000,1.500,1.425,0.243,0.206,0.667,0.584,0.377,0.487,0.427
43,dystopia,121,8.14,0.56,1.210,2.100,2.940,1.425,11.600,15.381,1.050,0.000,1.150,1.343,1.170,1.000,1.500,1.431,0.311,0.239,0.670,0.588,0.377,0.467,0.442
44,dystopia,121,8.14,0.68,1.210,2.100,2.940,1.448,11.600,12.048,1.050,0.000,1.150,1.177,1.170,1.000,1.500,1.424,0.307,0.286,0.740,0.734,0.418,0.427,0.485
45,dystopia,121,8.14,0.70,1.210,2.307,2.940,1.437,11.600,85.391,1.050,0.000,1.150,1.037,1.170,1.000,1.500,1.424,0.286,0.246,0.742,0.817,0.377,0.470,0.490
46,dystopia,121,8.14,0.66,1.210,3.105,2.940,1.436,11.600,72.916,1.050,0.000,1.150,1.342,1.170,1.000,1.500,1.425,0.208,0.243,0.665,0.584,0.992,0.426,0.520
47,dystopia,121,8.14,0.58,1.210,3.533,2.940,1.422,11.600,24.028,1.050,0.000,1.150,1.349,1.170,1.000,1.500,1.425,0.184,0.239,0.668,0.587,0.448,0.485,0.435
48,dystopia,121,8.14,0.67,1.210,2.100,2.940,1.439,11.600,79.823,1.050,0.000,1.150,1.044,1.170,1.000,1.500,1.425,0.487,0.179,0.683,0.583,0.383,0.477,0.465
49,dystopia,121,8.14,0.73,1.210,2.100,2.940,1.449,11.600,29.813,1.050,0.000,1.150,1.157,1.170,1.000,1.500,1.424,0.372,0.316,0.747,0.846,0.378,0.478,0.523
50,dystopia,121,8.14,0.61,1.210,2.100,2.940,1.445,11.600,84.192,1.050,0.000,1.150,1.217,1.170,1.000,1.500,1.429,0.274,0.236,0.739,0.828,0.377,0.477,0.489
51,dystopia,121,8.14,0.70,1.210,2.769,2.940,1.436,11.600,13.113,1.050,0.000,1.150,1.052,1.170,1.000,1.500,1.425,0.260,0.318,0.673,0.697,0.378,0.498,0.471
52,dystopia,121,8.14,0.70,1.210,2.100,2.940,1.435,11.600,24.374,1.050,0.000,1.150,1.029,1.170,1.000,1.500,1.425,0.293,0.244,0.681,0.585,0.377,0.468,0.441
53,dystopia,121,8.14,0.57,1.210,2.100,2.940,1.448,11.600,45.064,1.050,0.000,1.150,1.188,1.170,1.000,1.500,1.424,0.272,0.252,0.742,0.746,0.377,0.480,0.478
54,dystopia,121,8.14,0.60,1.210,2.100,2.940,1.435,11.600,14.973,1.050,0.000,1.150,1.029,1.170,1.000,1.500,1.425,0.280,0.212,0.672,0.584,0.377,0.443,0.428
55,dystopia,121,8.14,0.71,1.210,2.100,2.940,1.433,11.600,55.080,1.050,0.000,1.150,1.036,1.170,1.000,1.500,1.425,0.363,0.277,0.737,0.714,0.377,0.475,0.490
56,dystopia,121,8.14,0.67,1.210,2.100,2.940,1.438,11.600,84.822,1.050,0.000,1.150,1.086,1.170,1.000,1.500,1.424,0.342,0.276,0.737,0.723,0.377,0.491,0.491
57,dystopia,121,8.14,0.64,1.210,3.297,2.940,1.448,11.600,67.071,1.050,0.000,1.150,1.121,1.170,1.000,1.500,1.425,0.206,0.276,0.733,0.709,0.377,0.494,0.466
58,dystopia,121,8.14,0.53,1.210,2.100,2.940,1.430,11.600,72.278,1.050,0.000,1.150,1.341,1.170,1.000,1.500,1.425,0.274,0.240,0.671,0.675,0.416,0.426,0.450
59,dystopia,121,8.14,0.69,1.210,2.100,2.940,1.431,11.600,58.381,1.050,0.000,1.150,1.381,1.170,1.000,1.500,1.467,0.274,0.267,0.767,0.744,0.416,0.493,0.493
60,dystopia,121,8.14,0.71,1.210,2.633,2.940,1.409,11.600,32.812,1.050,0.000,1.150,1.414,1.170,1.000,1.500,1.543,0.285,0.258,0.804,0.619,0.377,0.548,0.482
61,dystopia,121,8.14,0.59,1.210,2.100,2.940,1.445,11.600,82.236,1.050,0.000,1.150,1.079,1.170,1.000,1.500,1.424,0.279,0.243,0.737,0.709,0.377,0.500,0.474
