File,Line,Type,Risk,Needs Sorting,Reason,Code
"src/simulation/militarySystem.ts",330,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const resourceTargets = Object.values(state.countryPopulationSystem.countries)"
"src/simulation/militarySystem.ts",357,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const possibleTargets = Object.values(state.countryPopulationSystem.countries)"
"src/simulation/militarySystem.ts",378,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const possibleTargets = Object.values(state.countryPopulationSystem.countries)"
"src/simulation/ensembleDetection.ts",166,"Object.values","MEDIUM",true,"Aggregation - order may affect floating point precision","const sum = Object.values(weights).reduce((a, b) => a + b, 0);"
"src/simulation/logging.ts",372,"Object.entries","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","Object.entries(log.events.summary.eventsByType).forEach(([type, count]) => {"
"src/simulation/planetaryBoundaries.ts",295,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const boundariesBreached = Object.values(boundaries)"
"src/simulation/planetaryBoundaries.ts",298,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","const boundariesWorsening = Object.values(boundaries)"
"src/simulation/planetaryBoundaries.ts",301,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","const boundariesImproving = Object.values(boundaries)"
"src/simulation/planetaryBoundaries.ts",585,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","const highRiskBoundaries = Object.values(boundaries)"
"src/simulation/planetaryBoundaries.ts",812,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","system.boundariesBreached = Object.values(system.boundaries)"
"src/simulation/planetaryBoundaries.ts",815,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","system.boundariesWorsening = Object.values(system.boundaries)"
"src/simulation/planetaryBoundaries.ts",818,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","system.boundariesImproving = Object.values(system.boundaries)"
"src/simulation/engine.ts",1108,"Object.entries","SAFE",false,"Logging/debugging only - order does not affect simulation","Object.entries(state.unifiedOutcome.paradigmOutcomes).forEach(([paradigm, outcome]) => {"
"src/simulation/upwardSpirals.ts",235,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const totalResearch = Object.values(researchInvestments).reduce((sum, val) => sum + (Number(val) || 0), 0);"
"src/simulation/upwardSpirals.ts",749,"Object.values","SAFE",false,"Logging/debugging only - order does not affect simulation","const totalResearch = Object.values(state.government.researchInvestments).reduce((sum, val) => sum + (Number(val) || 0), 0);"
"src/simulation/organizationManagement.ts",686,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values",": Object.values(allocations);"
"src/simulation/positiveTippingPoints.ts",188,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","ptp.activeCascades = Object.values(ptp.adoptionTracking).filter("
"src/simulation/positiveTippingPoints.ts",201,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","for (const tech of Object.values(ptp.adoptionTracking)) {"
"src/simulation/positiveTippingPoints.ts",227,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","for (const tech of Object.values(ptp.adoptionTracking)) {"
"src/simulation/positiveTippingPoints.ts",330,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","for (const tech of Object.values(ptp.adoptionTracking)) {"
"src/simulation/thresholds/tier3Config.ts",318,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","`Must be one of: ${Object.keys(SCENARIOS).join(', ')}`"
"src/simulation/thresholds/tier3Config.ts",332,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","return Object.keys(SCENARIOS) as ScenarioName[];"
"src/simulation/thresholds/config.ts",230,"Object.keys","SAFE",false,"Logging/debugging only - order does not affect simulation","if (config.metadata.sliders && Object.keys(config.metadata.sliders).length > 0) {"
"src/simulation/thresholds/config.ts",232,"Object.entries","SAFE",false,"Logging/debugging only - order does not affect simulation","for (const [key, value] of Object.entries(config.metadata.sliders)) {"
"src/simulation/thresholds/config.ts",239,"Object.entries","SAFE",false,"Logging/debugging only - order does not affect simulation","for (const [key, value] of Object.entries(thresholds)) {"
"src/simulation/qualityOfLife/aggregation.ts",40,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","Object.entries(systems).forEach(([key, value]) => {"
"src/simulation/utils/consciousnessGovernanceUtils.ts",436,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","const regionKeys = Object.keys(allRegions);"
"src/simulation/eventAggregator.ts",220,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","Object.keys(this.stats).forEach(key => {"
"src/simulation/engine/phases/EnsembleMetaLearningPhase.ts",146,"Object.keys","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","Object.keys(newWeights).forEach(key => {"
"src/simulation/engine/phases/EnsembleMetaLearningPhase.ts",151,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const sum = Object.values(newWeights).reduce((a, b) => a + b, 0);"
"src/simulation/engine/phases/ExogenousShockPhase.ts",793,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const shuffled = Object.values(state.countryPopulationSystem.countries).sort(() => rng() - 0.5);"
"src/simulation/engine/phases/ExogenousShockPhase.ts",1164,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const biotech = Object.values(research.biotech).reduce((a: number, b: any) => a + (b as number), 0) / 4;"
"src/simulation/engine/phases/ExogenousShockPhase.ts",1169,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const materials = Object.values(research.materials).reduce((a: number, b: any) => a + (b as number), 0) / 3;"
"src/simulation/engine/phases/ExogenousShockPhase.ts",1174,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const climate = Object.values(research.climate).reduce((a: number, b: any) => a + (b as number), 0) / 3;"
"src/simulation/engine/phases/ExogenousShockPhase.ts",1179,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const computerScience = Object.values(research.computerScience).reduce((a: number, b: any) => a + (b as number), 0) / 3;"
"src/simulation/cooperativeSpirals.ts",58,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","const milestonesAchieved = Object.values(milestones).filter(Boolean).length;"
"src/simulation/nationalAI/initialization.ts",22,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [nationName, baseline] of Object.entries(NATIONAL_AI_BASELINES_2023)) {"
"src/simulation/emergencyManagement.ts",388,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","for (const key of Object.keys(em.strategicReserves) as Array<keyof typeof em.strategicReserves>) {"
"src/simulation/config/validateConfig.ts",140,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [key, value] of Object.entries(RATES)) {"
"src/simulation/config/validateConfig.ts",171,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [key, value] of Object.entries(MULTIPLIERS)) {"
"src/simulation/config/validateConfig.ts",201,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [key, value] of Object.entries(BASELINES)) {"
"src/simulation/config/validateConfig.ts",234,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [key, value] of Object.entries(TOLERANCES)) {"
"src/simulation/memetics/memeTransmission.ts",368,"Object.entries","LOW",false,"No obvious determinism issue - manual review needed","for (const [key, value] of Object.entries(parent.beliefEffects)) {"
"src/simulation/agents/governmentTechActions.ts",223,"Object.keys","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const nations = Object.keys(NATIONAL_TECH_PRIORITIES);"
"src/simulation/technologyDiffusion.ts",82,"for...in","LOW",false,"No obvious determinism issue - manual review needed","for (const subDim in currentCat) {"
"src/simulation/technologyDiffusion.ts",137,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","for (const category of Object.keys(frontier.research) as Array<keyof typeof frontier.research>) {"
"src/simulation/technologyDiffusion.ts",141,"for...in","LOW",false,"No obvious determinism issue - manual review needed","for (const subDim in frontierCat) {"
"src/simulation/technologyDiffusion.ts",233,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","for (const category of Object.keys(floor.research) as Array<keyof typeof floor.research>) {"
"src/simulation/technologyDiffusion.ts",237,"for...in","LOW",false,"No obvious determinism issue - manual review needed","for (const subDim in floorCat) {"
"src/simulation/benchmark.ts",157,"Object.keys","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","Object.keys(measured).forEach(key => {"
"src/simulation/benchmark.ts",160,"Object.keys","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","Object.keys(measured.research).forEach(domain => {"
"src/simulation/benchmark.ts",161,"Object.keys","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","Object.keys(measured.research[domain]).forEach(subDomain => {"
