Phase,Avg_ms,P95_ms,Max_ms,Min_ms,Total_ms,Calls
Compute Growth (Moore's Law),0.68,4.75,4.75,0.09,8.2,12
Apply Scenario Priorities,0.03,0.28,0.28,0.00,0.3,12
Organization Turns,1.50,5.38,5.38,0.54,18.0,12
AI Welfare Update v2.1,0.16,0.76,0.76,0.06,1.9,12
Triggered Events,0.01,0.05,0.05,0.00,0.1,12
Compute Allocation,0.62,3.17,3.17,0.19,7.5,12
AI Alignment Evolution,0.68,2.55,2.55,0.29,8.2,12
AI Suffering Calculation,0.29,1.25,1.25,0.08,3.4,12
AI Population Lifecycle,2.01,10.91,10.91,0.53,24.1,12
Survival Traits,0.19,0.74,0.74,0.09,2.2,12
Evolutionary Selection,0.51,4.23,4.23,0.10,6.1,12
Bifurcation Logic,0.14,0.68,0.68,0.04,1.6,12
Cybersecurity Breaches,0.18,0.59,0.59,0.07,2.2,12
Sleeper Agent Wake Check,0.13,1.24,1.24,0.01,1.5,12
AI Agent Actions,45.97,81.91,81.91,24.74,551.7,12
War-Meaning Feedback,0.24,0.84,0.84,0.11,2.9,12
Climate Justice,0.40,2.11,2.11,0.15,4.7,12
Stochastic Innovation Breakthroughs,0.18,0.60,0.60,0.01,2.2,12
Player Decision Processing,0.01,0.09,0.09,0.00,0.2,12
Government Agent Actions,1.19,3.76,3.76,0.41,14.3,12
Governance System Update,0.35,2.64,2.64,0.07,4.2,12
Society Agent Actions,0.23,1.91,1.91,0.03,2.8,12
Technology Tree Update,8.35,24.57,24.57,5.04,100.2,12
Cooperative Systems Update,0.78,3.64,3.64,0.35,9.3,12
TIER 2: Social Systems,0.05,0.32,0.32,0.01,0.6,12
Meaning Renaissance Update,0.19,0.90,0.90,0.08,2.2,12
TIER 2: AI Governance,0.09,0.71,0.71,0.01,1.1,12
National AI Update,0.54,2.63,2.63,0.19,6.5,12
Antimicrobial Resistance,0.27,1.04,1.04,0.10,3.2,12
Extreme Weather Events,0.16,0.52,0.52,0.03,1.9,12
Enhanced UBI Update,0.04,0.43,0.43,0.01,0.5,12
Social Safety Nets Update,0.03,0.27,0.27,0.00,0.3,12
Resource Economy Update,1.18,8.13,8.13,0.27,14.1,12
AI-Assisted Skills Metrics,0.21,0.93,0.93,0.06,2.6,12
Resentment Recovery,0.26,1.10,1.10,0.10,3.1,12
TIER 2: Physical Systems,0.09,0.75,0.75,0.01,1.1,12
Memetic Evolution,0.76,2.32,2.32,0.29,9.1,12
Social Influence Update,22.96,30.15,30.15,10.87,275.5,12
Quality of Life Systems,0.64,2.57,2.57,0.28,7.7,12
Nuclear Command & Control,0.08,0.33,0.33,0.04,1.0,12
Defensive AI Update,0.21,0.56,0.56,0.10,2.5,12
Democracy Dynamics,0.08,0.43,0.43,0.02,0.9,12
Resource Soil Update,0.19,0.94,0.94,0.08,2.3,12
Resource Water Update,0.22,1.01,1.01,0.07,2.6,12
Wet Bulb Temperature Events,0.26,1.06,1.06,0.06,3.1,12
Positive Tipping Point Cascades,0.20,0.82,0.82,0.04,2.4,12
International Relations Update,0.93,3.07,3.07,0.30,11.2,12
Human Population Dynamics,0.72,4.62,4.62,0.24,8.7,12
Refugee Crisis System,0.49,1.69,1.69,0.25,5.8,12
Planetary Boundaries System,0.94,4.19,4.19,0.25,11.2,12
Dystopia Progression Update,0.22,1.73,1.73,0.04,2.6,12
Human Survival System,1.54,4.99,4.99,0.83,18.5,12
Benchmark Evaluations,1.52,8.34,8.34,0.51,18.2,12
Information Warfare Update,0.06,0.32,0.32,0.02,0.7,12
Crisis Points Check,0.30,2.70,2.70,0.03,3.6,12
Psychological Trauma,0.11,0.35,0.35,0.07,1.3,12
Workflow Adaptation Update,0.07,0.40,0.40,0.03,0.8,12
Consciousness Governance,0.26,1.04,1.04,0.07,3.1,12
Government Policy Response,0.19,0.70,0.70,0.10,2.3,12
Emergency Response,0.24,1.32,1.32,0.03,2.9,12
Social Stability System Update,0.41,1.84,1.84,0.14,4.9,12
Early Warning Detection,0.17,0.79,0.79,0.07,2.0,12
AI Adversarial Detection,0.17,1.20,1.20,0.04,2.0,12
Exogenous Shock Detection,0.02,0.12,0.12,0.00,0.2,12
Critical Juncture Agency,0.03,0.19,0.19,0.01,0.4,12
Unemployment & Skills,2.79,4.44,4.44,2.33,33.4,12
Unknown Unknown Events,0.08,0.53,0.53,0.02,0.9,12
Economic System,0.60,1.61,1.61,0.29,7.2,12
Climate System,0.62,3.73,3.73,0.18,7.5,12
Multi-Paradigm DUI Update,0.33,1.72,1.72,0.08,4.0,12
Bayesian Mortality Resolution,0.55,2.44,2.44,0.20,6.6,12
Outcome Probabilities Calculation,0.12,0.37,0.37,0.06,1.5,12
Minimal Suffering Indicators,0.70,4.19,4.19,0.23,8.4,12
Crisis Detection,0.03,0.14,0.14,0.01,0.3,12
Ensemble Meta-Learning,0.04,0.31,0.31,0.00,0.5,12
Extinction System,0.68,3.32,3.32,0.22,8.1,12
Technology Diffusion,0.16,0.45,0.45,0.05,1.9,12
Event Collection,0.03,0.13,0.13,0.01,0.4,12
Time Advancement,0.01,0.08,0.08,0.00,0.2,12
Organization Viability,0.22,1.31,1.31,0.08,2.7,12
Nuclear Crisis,0.04,0.38,0.38,0.01,0.5,12
